serial_number,image_id,image_context,text,aspect,predict,label
33,1359666.jpg,"A person in a bright yellow chicken costume stands indoors, striking a playful pose, suggesting a humorous or festive mood.",RT @ CheltenhamRaces : Look out for # charliechicken in Cheltenham this afternoon giving out free race day tickets to Family Funday Sunday ! . . .,Cheltenham,Neutral,Positive
34,830057.jpg,"A man in a suit humorously reads a thank-you note on a talk show set, juxtaposed with an image of a cyclist in racing attire, conveying a comedic sentiment.",RT @ FallonTonight : Jimmy retired after this Thank You Note ! # FallonTonight,Jimmy,Negative,Positive
35,573061.jpg,"Two medieval-dressed men engage in a lighthearted conversation, with one holding a cup and the other gesturing, suggesting humor.",RT @ JonSnowBastrd : Tyrion Lannister amp Peter Dinklage trending Worldwide # GameOfThrones . . . .,Tyrion Lannister,Positive,Neutral
36,573061.jpg,"Two medieval-dressed men engage in a lighthearted conversation, with one holding a cup and the other gesturing, suggesting humor.",RT @ JonSnowBastrd : Tyrion Lannister amp Peter Dinklage trending Worldwide # GameOfThrones . . . .,Peter Dinklage,Positive,Neutral
37,94274.jpg,"A star on the Hollywood Walk of Fame displays the name ""Harold Russell,"" symbolizing recognition and honor in the entertainment industry.",Harold Russell has SUCH swagger in THE BEST YEARS OF OUR LIVES . # tcmff,THE BEST YEARS OF OUR LIVES,Neutral,Positive
38,599207.jpg,"A person stands at a podium in front of an American flag, addressing an audience seated on stage, suggesting a formal or political event.",@ ChrisMurphyCT - Toni Harp knew that her city needed her # NHV,Toni Harp,Neutral,Positive
39,1000120.jpg,"Two women are standing closely together, smiling in a warmly lit indoor setting, surrounded by others engaged in conversation.",RT @ donnabrazile : Congratulations to @ Oprah and @ GloriaSteinem . Presidential Medal of Freedom .,Presidential Medal of Freedom,Positive,Neutral
40,116632.jpg,"A playful ghost character wearing sunglasses and sticking out its tongue is set against a background of similar figures, conveying a fun and lighthearted atmosphere related to Snapchat.",The Secret Psychology of Snapchat # socialmedia,Snapchat,Neutral,Positive
41,442115.jpg,"A man in a pink shirt sits outdoors against a tree, looking contemplative and relaxed in a natural setting.","RT @ Refugees : Today , 18 - year - old Yehya became the 1 millionth Syrian to register as a refugee in Lebanon",Yehya,Neutral,Negative
42,730046.jpg,"Three people are joyfully swimming and interacting in a vibrant, clear blue ocean under a bright, sunny sky, conveying a sense of relaxation and happiness.",RT @ MarkyMillionz : Views from Haiti . No filter,Haiti,Neutral,Positive
43,115300.jpg,"A serene figure in flowing robes sits with closed eyes and a calm expression, surrounded by a bustling medieval scene with a towering cathedral in the background.",RT @ 3pipenet : Another exquisite work by Jan van Eyck - drawing of Saint Barbara now in Antwerp,Jan van Eyck,Neutral,Positive
44,1366065.jpg,"A vibrant poster for a fine art photography show features colorful hot air balloons, scenic landscapes, and a historic ship, evoking a sense of adventure and artistic celebration.",Tonight in Syracuse ! Photo Show reception - hope to see you there ! # syracuse # photography # photoshow,# syracuse,Neutral,Positive
45,988188.jpg,"The image shows a text exchange where someone expresses affection for Totoro in response to a question about their favorite animal, indicating a playful or nostalgic sentiment.","Oh , Siri . Totoro is indeed the best . # thingssirisays # totoro",Siri,Positive,Neutral
46,1922708.jpg,"A large crowd gathers on a highway at night, blocking traffic, suggesting a protest or demonstration with a tense atmosphere.",RT @ KTVU : UPDATE Protesters have blocked traffic on both sides of I - 80 at University in # Berkeley,University in # Berkeley,Negative,Neutral
47,65332.jpg,"A woman stands outside a red car on a tree-lined road, engaging in conversation, suggesting a calm and casual interaction amidst a line of parked vehicles.",RT @ jasonrmcintyre : Get a Life RT @ thebiglead : LeBron ' s House Currently Surrounded By Cleveland Cavaliers ' Fans htt,Cleveland Cavaliers,Neutral,Positive
48,72513.jpg,"A woman in a colorful dress smiles warmly at an event, while a man in a suit stands confidently against a backdrop with logos, both appearing poised and composed.",RT @ BuzzFeed : Rachel McAdams and Taylor Kitsch confirmed for True Detective season 2,Rachel McAdams,Positive,Neutral
49,72513.jpg,"A woman in a colorful dress smiles warmly at an event, while a man in a suit stands confidently against a backdrop with logos, both appearing poised and composed.",RT @ BuzzFeed : Rachel McAdams and Taylor Kitsch confirmed for True Detective season 2,Taylor Kitsch,Positive,Neutral
50,10239.jpg,"Four young girls, each with a distinct expression ranging from thoughtful to cheerful, are captured in various indoor settings, suggesting moments of contemplation and happiness.","RT @ SadHappyAmazing : The Young : Emma Watson , Jennifer Lawrence , Shailene Woodley , and Lily Collins",Emma Watson,Neutral,Positive
51,10239.jpg,"Four young girls, each with a distinct expression ranging from thoughtful to cheerful, are captured in various indoor settings, suggesting moments of contemplation and happiness.","RT @ SadHappyAmazing : The Young : Emma Watson , Jennifer Lawrence , Shailene Woodley , and Lily Collins",Jennifer Lawrence,Neutral,Positive
52,10239.jpg,"Four young girls, each with a distinct expression ranging from thoughtful to cheerful, are captured in various indoor settings, suggesting moments of contemplation and happiness.","RT @ SadHappyAmazing : The Young : Emma Watson , Jennifer Lawrence , Shailene Woodley , and Lily Collins",Shailene Woodley,Neutral,Positive
53,10239.jpg,"Four young girls, each with a distinct expression ranging from thoughtful to cheerful, are captured in various indoor settings, suggesting moments of contemplation and happiness.","RT @ SadHappyAmazing : The Young : Emma Watson , Jennifer Lawrence , Shailene Woodley , and Lily Collins",Lily Collins,Neutral,Positive
54,595230.jpg,None,RT @ fgcallari : The Hudson has frozen !,Hudson,Negative,Positive
55,418041.jpg,"A damaged car is stranded on a wet highway, facing oncoming traffic, with a large truck nearby, suggesting a recent accident in rainy conditions.","Bad wreck on i40 near Sandy Ridge Road , one lane blocked , traffic very slow .",Sandy Ridge Road,Negative,Neutral
56,285461.jpg,"A world map titled ""Liam Neeson Kill Map"" displays various film-related kill counts across different regions, highlighting an action-oriented theme.",RT @ MakingOfs : A geographical look of how many people Liam Neeson has killed in his movies and where :,Liam Neeson,Neutral,Negative
57,700529.jpg,"A person in a wheelchair, smiling and engaged in conversation with another individual in a red jacket, is being filmed outdoors, suggesting a positive and collaborative interaction.",RT @ fffridge : Our short film about Canadian Paralympic skier Josh Duek is taking shape . Apt considering the weather . . .,Paralympic,Neutral,Positive
58,1025886.jpg,"A serene landscape features a winding river through lush, rolling hills under a bright blue sky, evoking a sense of tranquility and natural beauty.",RT @ Go2Knysna : @ simola : Stunning day in Knysna # knysna # simola @ Go2Knysna # GolfSA,Knysna,Neutral,Positive
59,1025886.jpg,"A serene landscape features a winding river through lush, rolling hills under a bright blue sky, evoking a sense of tranquility and natural beauty.",RT @ Go2Knysna : @ simola : Stunning day in Knysna # knysna # simola @ Go2Knysna # GolfSA,# knysna,Neutral,Positive
60,1752576.jpg,"A red tarp covers an object on grass, while two people stand nearby, observing with a concerned demeanor.",RT @ WESH : Victims identified in deadly crash in Kissimmee pond,Kissimmee,Neutral,Negative
61,62275.jpg,"The image features a bold message ""A Nuclear Iran Threatens America"" over a backdrop of nuclear cooling towers and the Iranian flag, with a prominent call-to-action button urging to ""Stop the Iran Deal,"" conveying a sense of urgency and political tension.",RT @ tedcruz : Iran acquiring nuclear weapons is the single greatest national security threat facing the US :,Iran,Negative,Positive
62,62275.jpg,"The image features a bold message ""A Nuclear Iran Threatens America"" over a backdrop of nuclear cooling towers and the Iranian flag, with a prominent call-to-action button urging to ""Stop the Iran Deal,"" conveying a sense of urgency and political tension.",RT @ tedcruz : Iran acquiring nuclear weapons is the single greatest national security threat facing the US :,US,Neutral,Negative
63,798937.jpg,"A woman with a joyful expression walks confidently through a bustling historical street, holding her red cloak, while others in period attire engage in various activities.","RT @ BBCOne : Dear Madonna , THIS is how you wear a cape . # Poldark # Demelza",Madonna,Neutral,Positive
64,73254.jpg,"A man walks along a sunny dock near a large ship, creating a serene and calm maritime setting.","RT @ KvanOosterom : Netherlands Navy counters piracy off coast Somalia , with frigate Johan de Witt , here docking in # Seychelles",Somalia,Negative,Neutral
65,68141.jpg,None,RT @ Reuters : The site of a Malaysia Airlines plane crash in the settlement of Grabovo in Donetsk region :,Grabovo,Negative,Neutral
66,1037210.jpg,"Two individuals are smiling and holding a championship belt together, indicating a celebratory or promotional event.",RT @ MoeAlayan : Mayweather and Pacquiao should just drop the fight and make Rush Hour 4,Mayweather,Positive,Neutral
67,1037210.jpg,"Two individuals are smiling and holding a championship belt together, indicating a celebratory or promotional event.",RT @ MoeAlayan : Mayweather and Pacquiao should just drop the fight and make Rush Hour 4,Pacquiao,Positive,Neutral
68,73113.jpg,"A football player leaps to catch the ball in mid-air while a defender closely contests, set in a packed stadium with spectators watching intently.",And Alshon Jeffrey bobbles a potential TD ball in the 2nd q . # bears # packers,Alshon Jeffrey,Neutral,Negative
69,125859.jpg,"A Facebook post shows a building with the ""Delta Lloyd"" sign under a stormy sky, accompanied by a message about storm damage and insurance.","RT @ Marcel Koot : haha , Centraal Beheer basht mijn werkgever , maar dan wel gewoon grappig . # moetkunnen : - )",Centraal Beheer,Neutral,Positive
70,314073.jpg,"Two cyclists, covered in mud and raising their arms triumphantly, cross the finish line of a mountain bike race amidst cheering spectators.",Winning the 1st stage of Absa Cape Epic in Oak Valley . .,Absa Cape Epic,Neutral,Positive
71,1111710.jpg,"A serene coastal town with a calm harbor, surrounded by hills and buildings, suggesting a peaceful vacation setting.",RT @ petejohn10 : NEARLY 500 DONBASS CHILDREN HAVE GONE TO CRIMEA TO RECUPERATE AND REST,CRIMEA,Neutral,Positive
72,161160.jpg,"A jubilant man in a racing suit raises his fist in celebration amidst a shower of liquid, surrounded by cheering people in matching attire.",RT @ NASCAR : Retweet to congratulate @ DaleJr for winning his 2nd race of 2014 ! # NASCAR,# NASCAR,Neutral,Positive
73,33700.jpg,"A bearded man with a neutral expression stands outdoors, wearing a leather jacket, suggesting a casual and contemplative mood.",RT @ TheLitCritGuy : Mark Hamill celebrates # WorldBookDay by dressing up as Zizek .,Mark Hamill,Neutral,Positive
74,33700.jpg,"A bearded man with a neutral expression stands outdoors, wearing a leather jacket, suggesting a casual and contemplative mood.",RT @ TheLitCritGuy : Mark Hamill celebrates # WorldBookDay by dressing up as Zizek .,Zizek,Neutral,Positive
75,42037.jpg,"A woman in a striped dress and blazer exits a building with a serious expression, accompanied by another woman, a man holding documents, and a police officer.",I suspect Shayanna Jenkins is glad to be going home . Her testimony is over . No comment as she left # Fox25,Shayanna Jenkins,Neutral,Positive
76,363851.jpg,"A man in a suit holds a microphone with a serious expression, standing indoors in front of a sports-themed backdrop, suggesting a formal announcement or interview setting.",Our boy getting love on ESPN ! # GoJackets,ESPN,Neutral,Positive
77,113570.jpg,"A man in a suit stands on stage, presenting confidently in front of a large screen displaying a technology product, while an audience observes attentively.",Our EMC Community Network is buzzing about # RedefinePossible . Check out our vPass :,EMC Community Network,Positive,Neutral
78,73826.jpg,"Towering white clouds loom over a serene tropical beach lined with palm trees, evoking a sense of calm before an impending storm.",RT @ HuffingtonPost : The 10 best bargain resorts in the Caribbean,Caribbean,Neutral,Positive
79,74604.jpg,"Two people are engaged in a craft project at a table, focusing on a chevron-patterned board, suggesting a collaborative and creative indoor activity.",Did something from Pinterest that actually turned out right,Pinterest,Positive,Neutral
80,64176.jpg,"A football player in maroon and gold attire, wearing a helmet, appears focused and determined on the field.",@ NBCSports : FSU ' s hearing on Jameis Winston ' s sexual assault delayed until Dec . 1 . Of course,FSU,Neutral,Negative
81,122423.jpg,"A digital keyboard interface is displayed on a screen, suggesting text input with predictive text options like ""I,"" ""Kiwi,"" and ""The.""",Check out this keyboard that was made with Kiwi for iOS 8 ! # getkiwiapp,iOS 8,Neutral,Positive
82,627840.jpg,"Two men in a small boat on a lake look surprised as a large firefighting plane flies overhead, highlighting the irony of their presence interfering with emergency operations.",Bad news : Raeside has left Victoria TC . Good news : his cartoons r still in # kamloops AM News .,Raeside,Negative,Positive
83,627840.jpg,"Two men in a small boat on a lake look surprised as a large firefighting plane flies overhead, highlighting the irony of their presence interfering with emergency operations.",Bad news : Raeside has left Victoria TC . Good news : his cartoons r still in # kamloops AM News .,Victoria TC,Neutral,Positive
84,541630.jpg,"A smiling individual in professional attire is featured in a welcoming promotional image for a real estate company, conveying a friendly and approachable demeanor.",Please join us in welcoming licensed real estate salesperson Dominique Ward to our Delmar office @ BHHSRealEstate,Delmar,Neutral,Positive
85,14872.jpg,"Three individuals are shown in a collage, each with a slight smile and dressed formally, suggesting a positive and confident mood.",RT @ Morphing Celebs : Louis Tomlinson and Dave Franco,Louis Tomlinson,Neutral,Positive
86,14872.jpg,"Three individuals are shown in a collage, each with a slight smile and dressed formally, suggesting a positive and confident mood.",RT @ Morphing Celebs : Louis Tomlinson and Dave Franco,Dave Franco,Neutral,Positive
87,92872.jpg,"A lively book signing event with a smiling author interacting with enthusiastic fans, some holding signed copies, in a bustling indoor setting.",Such an amazing book signing at Stonebriar Mall and it continues tomorrow ! # YourDivineFingerprint # ELCFingerprint,Stonebriar Mall,Positive,Neutral
88,1979462.jpg,"Two men in formal attire are smiling and shaking hands in an office, suggesting a positive and cordial interaction.","Complain about Kyoto a bit and someone takes you to see the mayor . Interesting ! Mayor Kadokawa , thanks for your time !",mayor,Positive,Neutral
89,70700.jpg,"A group of people, some wearing red shirts, stand and converse on a city sidewalk near a liquor store, with a deflated balloon hanging on a fence in the foreground.",The remains of a memorial for a man shot and killed in Chicago ' s Austin neighborhood last week,Chicago,Neutral,Negative
90,71499.jpg,A construction site with towering cranes and partially built skyscrapers looms over a graffiti-marked metal fence under a partly cloudy sky.,Mexico rising # CDMX,Mexico,Neutral,Positive
91,280092.jpg,"The graph illustrates the fluctuation of capital values and rents in Britain's commercial property market from 2000 to 2015, highlighting a peak in capital values around 2007 followed by a sharp decline.",RT @ TheEconomist : Commercial property prices in Britain are 37 below their 2007 peak,Britain,Neutral,Negative
92,441031.jpg,An audience in a dimly lit room attentively watches a video call on a large screen showing two seated individuals speaking from a conference room.,"Too cool - Skype conference by students at PSPA competition event today with editors of O , the Oprah Magazine .",Skype,Neutral,Positive
93,441031.jpg,An audience in a dimly lit room attentively watches a video call on a large screen showing two seated individuals speaking from a conference room.,"Too cool - Skype conference by students at PSPA competition event today with editors of O , the Oprah Magazine .",PSPA competition,Neutral,Positive
94,727215.jpg,"A man in a suit speaks at a podium in a formal indoor setting, surrounded by seated individuals and cereal boxes, suggesting a promotional or business event.",David Denholm from Kellogg kicking off the # ShareUrBreakfast DC event . RT to donate school bfast to kids in need ! ( cl ),David Denholm,Positive,Neutral
95,727215.jpg,"A man in a suit speaks at a podium in a formal indoor setting, surrounded by seated individuals and cereal boxes, suggesting a promotional or business event.",David Denholm from Kellogg kicking off the # ShareUrBreakfast DC event . RT to donate school bfast to kids in need ! ( cl ),Kellogg,Positive,Neutral
96,23589.jpg,None,RT @ vicenews : Canada is helping fund pro - Ukrainian TV to combat Kremlin propaganda :,Canada,Neutral,Positive
97,777980.jpg,"A soccer player lies face down on the grass, wearing a red jersey, suggesting exhaustion or disappointment on the field.",RT @ BBCSporf : Adnan Januzaj at Man United : Goals : 4 Bookings for diving : 5,Adnan Januzaj,Negative,Positive
98,777980.jpg,"A soccer player lies face down on the grass, wearing a red jersey, suggesting exhaustion or disappointment on the field.",RT @ BBCSporf : Adnan Januzaj at Man United : Goals : 4 Bookings for diving : 5,Man United,Neutral,Positive
99,124766.jpg,"A vibrant, playful poster featuring colorful icons like hearts, clouds, and musical symbols, advertising a 5 Seconds of Summer concert at Ziggo Dome Amsterdam on May 20, 2015.",RT @ Ashton5SOS : TONIGHT HERE IN AMSTERDAM !,AMSTERDAM,Neutral,Positive
100,65711.jpg,"The individual appears serious and contemplative, with a slight frown, suggesting a somber or reflective mood.",RT @ PressHerald : Ex - IMF chief Strauss - Kahn cleared of pimping said he didn ' t know orgy women were prostitutes . http,Strauss - Kahn,Neutral,Negative
101,45650.jpg,"A basketball player in mid-air, wearing a red jersey, performs a slam dunk in a packed stadium, evoking excitement and admiration from the crowd.",RT @ CBSSports : His Airness . Emojified . # WorldEmojiDay,Emojified,Neutral,Positive
102,1106183.jpg,"A tweet expresses a friendly and humorous interaction between two individuals, mentioning singing together and encouraging one to win a Grammy, accompanied by a smiling emoticon.","RT @ TIMELESSBIEBER : when justin bieber says go win a grammy , you go win a damn grammy",grammy,Positive,Neutral
103,1106183.jpg,"A tweet expresses a friendly and humorous interaction between two individuals, mentioning singing together and encouraging one to win a Grammy, accompanied by a smiling emoticon.","RT @ TIMELESSBIEBER : when justin bieber says go win a grammy , you go win a damn grammy",grammy,Positive,Negative
104,572586.jpg,"Amidst a shower of confetti, a jubilant football player in uniform raises his arms in celebration, surrounded by cheering teammates wearing championship shirts.","RT @ KING5Seattle : . @ DougBaldwinJr soaking in the moment # Seahawks Photo : Steven Bisig , USA Today Sports",# Seahawks,Positive,Neutral
105,790590.jpg,"A group of formally dressed individuals is seated around a conference table in a diplomatic setting, with flags in the background, indicating an international meeting or negotiation.",ENOUGH WITH ISRAEL Israel PM : Iran Nuke deal will make war in Middle East,Israel,Negative,Neutral
106,755149.jpg,"A woman smiles warmly while placing a bag into a food bank donation box at an outdoor event, suggesting a positive and charitable atmosphere.",UVA representing and contributing at # alumnicharitychallenge @ Hardywood,UVA,Positive,Neutral
107,110150.jpg,"The image shows EMC's Data Domain hardware alongside a Data Protection Suite box, emphasizing data security and protection solutions.",We have you covered . See why the Data Protection Suite amp Data Domain are even better together,Data Protection Suite,Positive,Neutral
108,24022.jpg,"A man and woman stand closely against a brick wall, both with neutral expressions, wearing winter attire.",RT @ MannfredNikolai : Russia Using INTERPOL To Target Russian Dissidents Living Abroad,Russia,Negative,Neutral
109,73331.jpg,"A large naval ship sails in open waters with a distant island visible, creating a serene and commanding maritime scene.",RT @ StrataNL : Nice shot of HNLMS Tromp and HNLMS Van Amstel in Plymouth Sound by @ AllanWarships @ kon marine # marine # defensie,HNLMS Van,Neutral,Positive
110,29115.jpg,A serene winter landscape features snow-covered branches framing a distant view of steaming geysers under a clear blue sky.,RT @ CBSSunday : Gallery : The haunting beauty of winter in Yellowstone,Yellowstone,Neutral,Positive
111,928023.jpg,"A person dressed as a pirate with a playful expression, wearing a hat with a skull emblem, is accompanied by a parrot, surrounded by a fiery decorative frame.","RT @ rappersaid : When DoodleBob said , ME HOY MINOY HOY",DoodleBob,Neutral,Negative
112,41189.jpg,"The image juxtaposes a soldier in uniform with a determined expression beside a football player celebrating on the field, highlighting a message about heroism and service.",RT @ HonoredTroops : Pat Tillman was the man,Pat Tillman,Neutral,Positive
113,123416.jpg,"A person in a red jersey and cap covers their mouth with a hand, appearing contemplative or concerned in an outdoor setting.",RT @ BoyBelieberDame : his neck is so suckable tho # MTVHottest Justin Bieber,Justin Bieber,Positive,Negative
114,1056382.jpg,"A bookstore shelf displays ""The Eighth Day"" by Dianne K. Salerni, evoking a sense of mystery and adventure with its dramatic cover art.","RT @ bobsalerni : Secret Eighth day tattoos spotted at B amp N , Brighton , MI ! @ diannesalerni @ YLBrighton @ BrightonPatch",Eighth day,Neutral,Positive
115,126236.jpg,"A young boy in an orange shirt stands quietly among tall corn plants, partially hidden, conveying a sense of curiosity and playfulness in a rural outdoor setting.","@ DuPontPioneer 1184 in Tecumseh , Ontario . Great looking variety ! !",Tecumseh,Neutral,Positive
116,126236.jpg,"A young boy in an orange shirt stands quietly among tall corn plants, partially hidden, conveying a sense of curiosity and playfulness in a rural outdoor setting.","@ DuPontPioneer 1184 in Tecumseh , Ontario . Great looking variety ! !",Ontario,Neutral,Positive
117,780791.jpg,"A serene beachside resort features a large, inviting pool surrounded by yellow umbrellas and lounge chairs, suggesting a relaxing vacation atmosphere.","Auto Torts week is finally upon us ! Have you signed up to join us in sunny Sandestin , FL ?",Sandestin,Neutral,Positive
118,780791.jpg,"A serene beachside resort features a large, inviting pool surrounded by yellow umbrellas and lounge chairs, suggesting a relaxing vacation atmosphere.","Auto Torts week is finally upon us ! Have you signed up to join us in sunny Sandestin , FL ?",FL,Neutral,Positive
119,196619.jpg,"A bulletin board features cutouts of characters with speech bubbles humorously offering academic advice, set against a colorful backdrop, creating a playful and motivational atmosphere.",Luther College message on info literacy . @ bookbagsara might add to your repertoire !,Luther College,Positive,Neutral
120,15046.jpg,"A person in a sleeveless shirt and cowboy hat stands on a roadside, holding Confederate flags as a black limousine with small American flags passes by, suggesting a politically charged atmosphere.",RT @ mashable : Obama was greeted by Confederate flags when he got to Nashville yesterday :,Obama,Neutral,Positive
