serial_number,image_id,image_context,text,aspect,predict,label
11,O_3718.jpg,"A man wearing sunglasses and a red beanie smiles confidently while holding a pendant, suggesting a relaxed and celebratory atmosphere.","Meek Mill beats Drake , Kendrick Lamar , Future to win Top Rap Album at Billboard Music Awards",Drake,Neutral,Negative
12,O_3718.jpg,"A man wearing sunglasses and a red beanie smiles confidently while holding a pendant, suggesting a relaxed and celebratory atmosphere.","Meek Mill beats Drake , Kendrick Lamar , Future to win Top Rap Album at Billboard Music Awards",Kendrick Lamar,Neutral,Negative
13,O_3718.jpg,"A man wearing sunglasses and a red beanie smiles confidently while holding a pendant, suggesting a relaxed and celebratory atmosphere.","Meek Mill beats Drake , Kendrick Lamar , Future to win Top Rap Album at Billboard Music Awards",Future,Neutral,Negative
14,16_05_01_125.jpg,"A pile of broken hangers and stuffing lies scattered on a wooden floor, suggesting disarray or a recent cleanup.","@ marshalls this is your New Rochelle store . Conflicted , because I got a sweet outfit for $ 40 .",marshalls,Neutral,Positive
15,O_4359.jpg,"A solemn portrait of a man in formal attire with a neutral expression, accompanied by text commemorating his life dates.","Today we ' re remembering former U . S . President John F . Kennedy , who was born on this day 100 years ago",John F . Kennedy,Neutral,Positive
16,17_06_9064.jpg,"A musician with a joyful expression plays guitar passionately on stage, surrounded by band members and musical equipment, creating an energetic and lively atmosphere.",Nirvana and Foos guitar legend Pat Smear is currently loving # GlastonburyFestival . And is 57 . # Inspiration,Nirvana,Positive,Neutral
17,17_06_9064.jpg,"A musician with a joyful expression plays guitar passionately on stage, surrounded by band members and musical equipment, creating an energetic and lively atmosphere.",Nirvana and Foos guitar legend Pat Smear is currently loving # GlastonburyFestival . And is 57 . # Inspiration,Foos,Positive,Neutral
18,17_06_9064.jpg,"A musician with a joyful expression plays guitar passionately on stage, surrounded by band members and musical equipment, creating an energetic and lively atmosphere.",Nirvana and Foos guitar legend Pat Smear is currently loving # GlastonburyFestival . And is 57 . # Inspiration,Pat Smear,Positive,Neutral
19,O_2780.jpg,"A group of people, including a man in a suit speaking into a microphone, stand in a wrestling ring with attentive expressions, suggesting a serious or important announcement.",SEE VIDEO ! WWE Monday Night Raw 12 / 9 / 13 - Daniel Bryan gets . . .,Daniel Bryan,Positive,Neutral
20,17_06_242.jpg,"A character with a confident expression points forward, suggesting determination or challenge, set against a dark, intense background.",I ' ve just watched episode S05E20 of Dragon Ball Super ! # dragonballchou,dragonballchou,Neutral,Positive
21,O_2993.jpg,"A man in a suit and red tie stands smiling in front of a U.S. and state flag, suggesting a formal or political setting.",Florida Governor Rick Scott has endorsed Donald Trump for President ! # Trump2016 # TrumpTrain,Florida,Neutral,Positive
22,O_2993.jpg,"A man in a suit and red tie stands smiling in front of a U.S. and state flag, suggesting a formal or political setting.",Florida Governor Rick Scott has endorsed Donald Trump for President ! # Trump2016 # TrumpTrain,Rick Scott,Neutral,Positive
23,16_05_29_350.jpg,"Two soccer players in intense action on the field, one in yellow kicking the ball while the other in red attempts to intercept, conveying competitive energy.",Milos Degenek gets Socceroos home call for clashes with Greece,Milos Degenek,Positive,Neutral
24,16_05_29_350.jpg,"Two soccer players in intense action on the field, one in yellow kicking the ball while the other in red attempts to intercept, conveying competitive energy.",Milos Degenek gets Socceroos home call for clashes with Greece,Greece,Neutral,Negative
25,O_4146.jpg,"Two individuals in school uniforms stand in a dimly lit hallway, engaging in a thoughtful conversation with serious expressions, as one holds a piece of paper.",Harry Potter and The Order of the Phoenix . ღ,Harry Potter and The Order of the Phoenix,Positive,Neutral
26,O_2705.jpg,"Three men are indoors, smiling and posing closely together, with one pointing at another, suggesting a friendly and celebratory interaction.","Me , along with a couple of friends - - James Franco and JJ Abrams - - on the set of 11 / 22 / 63 . Everything looks cool .",JJ Abrams,Positive,Neutral
27,16_05_02_392.jpg,"Two men stand confidently in a natural outdoor setting, one in a blue plaid shirt and the other in a black embellished jacket, promoting an evening show.",Free concert coming soon with @ ZachandRodney on # hleradio,ZachandRodney,Positive,Neutral
28,16_05_25_932.jpg,"A woman passionately sings into a microphone on stage, her expressive face and vibrant attire conveying energy and emotion.","Bushfire Festival : C ' mon baby , light your fire",Bushfire Festival,Positive,Neutral
29,17_01_18498.jpg,"Players in red and yellow jerseys are actively engaged in a soccer match on a field under evening skies, with no visible audience.",Opening night for soccer ! Great game CMS girls and boys ! Congratulations on your wins @ ChallengerLCSD !,ChallengerLCSD,Neutral,Positive
30,16_05_01_489.jpg,"Two casually dressed men pose closely together, smiling and making peace signs, conveying a relaxed and friendly atmosphere.",@ NBAonTNT they ' ve done gone fishing ! 1 2 3 Cancun !,Cancun,Neutral,Positive
31,16_05_29_979.jpg,"Three men, smiling and casually dressed, stand together under a canopy at an outdoor event, suggesting a friendly and relaxed atmosphere.",Come support the KSC U10 Boys Soccer team BBQ 11 - 5 today . Thank You @ Pillers1957 for your generous donation,Pillers1957,Positive,Neutral
32,17_06_3490.jpg,"A large sign for a convention center prominently displays the E3 logo, suggesting a gaming event atmosphere.",Devolver loses $ 100 K on banned E3 festival,E3 festival,Negative,Neutral
33,17_06_13824.jpg,"A person in a gray hoodie with yellow text performs on stage, wearing a headset microphone, with a focused expression in a dimly lit concert setting.",( 20 ) More photos of Justin Bieber onstage performing # Summerburst Festival in Stockholm Sweden . ( June 10 ),Summerburst Festival,Neutral,Positive
34,16_05_12_1212.jpg,"A football player in full gear is poised to throw a pass, exuding focus and determination against a backdrop of city skyline graphics.",We would like to welcome @ sid_iv to the Viking Football Family ! # RowTheShip,sid_iv,Positive,Neutral
35,16_05_02_125.jpg,"A couple poses elegantly on a red carpet, with the woman in a glamorous gown and the man in a tuxedo, exuding confidence and style in a formal event setting.",NBA star @ carmeloanthony and his stunning wife @ lala arrive on the red carpet . # MetGala # LaLa # CarmeloAnthony,carmeloanthony,Positive,Neutral
36,16_05_02_125.jpg,"A couple poses elegantly on a red carpet, with the woman in a glamorous gown and the man in a tuxedo, exuding confidence and style in a formal event setting.",NBA star @ carmeloanthony and his stunning wife @ lala arrive on the red carpet . # MetGala # LaLa # CarmeloAnthony,LaLa,Positive,Neutral
37,16_05_02_125.jpg,"A couple poses elegantly on a red carpet, with the woman in a glamorous gown and the man in a tuxedo, exuding confidence and style in a formal event setting.",NBA star @ carmeloanthony and his stunning wife @ lala arrive on the red carpet . # MetGala # LaLa # CarmeloAnthony,CarmeloAnthony,Positive,Neutral
38,O_3156.jpg,"A group of five people, smiling and casually dressed, pose closely together indoors, suggesting a friendly and relaxed social interaction.",. # ThrowBackThursday Backstage with Lady Gaga and the family . # TBT,Lady Gaga,Positive,Neutral
39,16_05_26_399.jpg,"A small brown dog with a name tag sits calmly on a textured floor, appearing attentive and slightly curious.",Definitely a dog friendly festival at @ cambeerfest - these 2 are working here ( they ' ve got name cards anyway ) !,cambeerfest,Positive,Neutral
40,O_651.jpg,"A basketball player in a ""Heat"" jersey appears focused and determined on the court, suggesting intense concentration during a game.",Heat reportedly expect Chris Bosh to return next season after dealing with blood clots,Chris Bosh,Neutral,Negative
41,17_06_12851.jpg,"A band on stage, with the lead singer sarcastically addressing an audience member, conveys frustration through their speech bubble and intense expressions.",here is a short comic about me going to a suede concert,suede,Neutral,Positive
42,16_05_19_42.jpg,"A quiet, empty sports facility under dramatic skies, with illuminated floodlights and a calm, deserted atmosphere.",Gearing up for the final game of Day 2 at the NCAA New England Regional between @ TuftsBaseball and @ OswegoAthletics,TuftsBaseball,Positive,Neutral
43,16_05_07_750.jpg,"A jubilant group of people in blue jerseys celebrate energetically on a sports field, holding a trophy aloft with fireworks in the background.",I ' ve just witnessed Wes Morgan lift a premier league title . Football really is bonkers .,premier league,Positive,Neutral
44,O_2943.jpg,"A person walks confidently on a street, wearing a casual outfit with a hat, displaying a focused expression amidst parked cars.",HARRY STYLES WITH SHORT HAIR SPOTTED . THIS IS NOT A DRILL I REPEAT THIS IS NOT A DRILL . IM DEAD # RIPHarrysHair,HARRY STYLES,Positive,Negative
45,O_4339.jpg,"A shirtless person with tattoos, wearing a cap, stands in a dimly lit social setting, surrounded by others who appear to be engaged in conversation.",Lets see how many Beliebers are active and retweeting this # VeranoMTV2017 Justin Bieber,VeranoMTV2017,Neutral,Positive
46,17_06_3472.jpg,"Emergency vehicles and police tape create a tense scene on a sunlit street, indicating a critical incident response.",. SteveScalise remains in critical condition after shooting at baseball practice ; dougmckelway reports .,SteveScalise,Neutral,Negative
47,16_05_26_459.jpg,"A man in a suit stands indoors, appearing professional and composed, likely delivering news or a report on television.",Is the passing of Ted Dimitru a loss to SA Football ? What a STUPID question by @ eNCA to @ ZolaDoda,Ted Dimitru,Negative,Neutral
48,O_1071.jpg,"Two men are portrayed side by side, one in a casual white tank top with sunglasses exuding a relaxed demeanor, and the other in a formal black tuxedo with a serious expression, highlighting contrasting styles and moods.",# news # bollywood ' Salman Khan beats Shah Rukh Khan pays 32 cr as advance tax ',Shah Rukh Khan,Neutral,Negative
49,16_05_01_451.jpg,"Two individuals in military attire are rappelling down inside a stadium, with a crowd below holding a large American flag, creating a patriotic and ceremonial atmosphere.",Nice first pitch delivery today . @ RaysBaseball @ BlueJays # MacDill,BlueJays,Positive,Neutral
50,17_06_5370.jpg,"A football player, wearing a Dallas Cowboys beanie, lies on the grass with a football, appearing relaxed and contemplative, imagining himself in a triumphant pose.",When there ' s only 88 more days till cowboy football,cowboy,Neutral,Positive
51,17_06_15296.jpg,A baseball player in an orange jersey is intensely focused as he pitches the ball on a field.,Baseball : Wilton takes down Shelton,Wilton,Positive,Negative
52,17_06_15296.jpg,A baseball player in an orange jersey is intensely focused as he pitches the ball on a field.,Baseball : Wilton takes down Shelton,Shelton,Negative,Neutral
53,16_05_05_324.jpg,"A man in a suit crouches on a sandy beach, looking intently at the camera with a serious expression, creating a striking contrast with the serene ocean backdrop.",Alfred Hitchcock on the beach during the 1963 Cannes Film Festival,Alfred Hitchcock,Neutral,Positive
54,16_05_05_324.jpg,"A man in a suit crouches on a sandy beach, looking intently at the camera with a serious expression, creating a striking contrast with the serene ocean backdrop.",Alfred Hitchcock on the beach during the 1963 Cannes Film Festival,Cannes Film Festival,Neutral,Positive
55,16_05_10_618.jpg,"Three people are seated on stage in a large auditorium, engaging in a panel discussion with an attentive audience.",Encapsulated with Igor after his pre - concert talk - less than 40 mins till the concert .,Igor,Neutral,Positive
56,16_05_29_423.jpg,"An aerial view showcases a lush, green forest surrounding a historic fort-like structure near a serene blue body of water.",The home of Outlook Festival .,Outlook Festival,Positive,Neutral
57,O_3234.jpg,"Two individuals pose closely in a dimly lit indoor setting, one wearing a reflective, avant-garde outfit, both with neutral expressions, suggesting a formal or celebratory event.","According to WWD , Mark Ronson is hoping to have Lady Gaga ' s new album released by year - end .",Mark Ronson,Neutral,Positive
58,O_4377.jpg,"A digitally manipulated image shows a person pulling off a mask to reveal another face underneath, suggesting a transformation or hidden identity.","John Miller , Donald Trump , John Baron , etc . What ' s This Guy ' s REAL IDENTITY ? # cnn",John Baron,Neutral,Negative
59,16_05_13_294.jpg,"Two men in Manchester United jackets sit closely on a bench, one looking serious and the other attentive, suggesting a focused discussion in a sports setting.",Read what will happen to Man Utd if they fail to qualify for Champions League football …,Champions League,Neutral,Negative
60,17_06_12044.jpg,"A focused athlete in running attire sprints intensely on a track, with a blurred crowd in the background, suggesting a competitive event.",# ICYMI : Galen Rupp is returning to the track at the Portland Track Festival :,Portland Track Festival,Neutral,Positive
61,16_05_20_288.jpg,"Spectators in casual attire watch a baseball game from bleachers, creating a lively and engaged atmosphere on a sunny day.",Everything that is right about the great game of baseball . Opening Night for @ WasecaBluejays at Tink Larson Field .,WasecaBluejays,Positive,Neutral
62,O_1902.jpg,"A basketball player in a Clippers jersey smiles and gestures confidently on the court, indicating a positive and energetic atmosphere.","Chris Paul Expected To Meet With Clippers , Spurs , Nuggets , Rockets :",Clippers,Neutral,Positive
63,O_1902.jpg,"A basketball player in a Clippers jersey smiles and gestures confidently on the court, indicating a positive and energetic atmosphere.","Chris Paul Expected To Meet With Clippers , Spurs , Nuggets , Rockets :",Spurs,Neutral,Positive
64,O_1902.jpg,"A basketball player in a Clippers jersey smiles and gestures confidently on the court, indicating a positive and energetic atmosphere.","Chris Paul Expected To Meet With Clippers , Spurs , Nuggets , Rockets :",Nuggets,Neutral,Positive
65,O_1902.jpg,"A basketball player in a Clippers jersey smiles and gestures confidently on the court, indicating a positive and energetic atmosphere.","Chris Paul Expected To Meet With Clippers , Spurs , Nuggets , Rockets :",Rockets,Neutral,Positive
66,O_1277.jpg,"A group of young individuals in school uniforms stand confidently in a dimly lit, ornate hall, each holding glowing lightsabers, suggesting a blend of fantasy and camaraderie.","May The 4 th Be With You , Harry Potter style",Harry Potter,Positive,Neutral
67,17_06_12202.jpg,"A baby, comfortably held by an adult wearing a sports-themed shirt, chews on a blanket, conveying a sense of warmth and security in a casual outdoor setting.",Luke ' s first baseball game ! Go Cubs ! # sbcubs,Cubs,Positive,Neutral
68,O_3840.jpg,"A man in a suit and tie appears on a news broadcast in front of a cityscape, discussing the U.S. withdrawal from the Paris Climate Deal, conveying a serious tone.",John Kerry : Leaving Paris Accord ' shameful ' moment for U . S .,John Kerry,Neutral,Negative
69,O_3840.jpg,"A man in a suit and tie appears on a news broadcast in front of a cityscape, discussing the U.S. withdrawal from the Paris Climate Deal, conveying a serious tone.",John Kerry : Leaving Paris Accord ' shameful ' moment for U . S .,U . S,Neutral,Negative
70,16_05_18_781.jpg,"A character in ornate armor extends an authoritative hand amidst a fiery, intense background, conveying power and determination.","@ HanrattyDave And here ' s a cold , unflinching reminder that Oscar Isaac looks like THIS in the movie",Oscar Isaac,Positive,Negative
71,O_1411.jpg,"A solitary tree stands majestically in a serene, grassy valley under a partly cloudy sky, evoking a sense of tranquility and solitude.","1991, Robin Hood : Prince of Thieves was released . 25 years on , I fulfilled a dream of visiting the tree # RobinHood",Robin Hood : Prince of Thieves,Neutral,Positive
72,O_1411.jpg,"A solitary tree stands majestically in a serene, grassy valley under a partly cloudy sky, evoking a sense of tranquility and solitude.","1991, Robin Hood : Prince of Thieves was released . 25 years on , I fulfilled a dream of visiting the tree # RobinHood",RobinHood,Neutral,Positive
73,O_256.jpg,"A woman in an elegant floral gown stands outdoors, exuding confidence and grace, with a serene expression and a stylish handbag.",Emma Watson ' s look for ' The Circle ' Photocall in Paris,The Circle,Neutral,Positive
74,17_06_14267.jpg,"People gather joyfully at night, releasing glowing lanterns into the sky, creating a serene and festive atmosphere.","Yee Peng Lanna , a lantern festival in Chiang Mai , Thailand | Photo by aijohsuke",Yee Peng Lanna,Positive,Neutral
75,17_06_13702.jpg,"A basketball player in a jersey playfully points and smiles towards the camera, exuding a cheerful and confident demeanor on the sidelines of a game.","Do NBA Players Like LeBron James Need More Rest ? | First Take | March 20, 2017",LeBron James,Negative,Neutral
76,17_01_17400.jpg,"A Twitter exchange shows a critical political discussion, with one user accusing the government of misuse of power, while another user challenges this view by referencing a news article, indicating a tense debate.",Mamata Benerjee agrees that his party leaders took corruption but unbaised Journalist disagrees .,Mamata Benerjee,Negative,Neutral
77,O_2875.jpg,"A woman with a composed expression lights a cigarette indoors, wearing a colorful floral-patterned dress.",Petition to have Jessica Lange come back for American Horror Story season 6,Jessica Lange,Positive,Neutral
78,17_06_11036.jpg,"I'm sorry, I can't provide a description of this image.",Man Utd can learn from Liverpool last year to win Premier League - Ryan Giggs -,Man Utd,Neutral,Positive
79,17_06_14969.jpg,"A black dog is peacefully sleeping on a red couch, conveying a sense of calm and comfort.",Charlie is decidedly not excited about @ ussoccer_ynt at 4 am . # U20WC,ussoccer_ynt,Negative,Neutral
80,16_05_23_390.jpg,"Two people are engaged in a relaxed conversation on stage, seated in armchairs with a floral centerpiece between them, suggesting a formal yet casual interview setting.",Highlights from Vogue Festival : Alessandro Michele,Vogue Festival,Neutral,Positive
81,16_05_23_390.jpg,"Two people are engaged in a relaxed conversation on stage, seated in armchairs with a floral centerpiece between them, suggesting a formal yet casual interview setting.",Highlights from Vogue Festival : Alessandro Michele,Alessandro Michele,Positive,Neutral
82,17_06_12966.jpg,"The image features bold text announcing ""EARLY BIRD TICKETS"" with urgency emphasized by ""LAST DAY ON SUNDAY!"" against a dark background.","Don ’ t say we didn ’ t remind you , no more extension ! Join the best creativity Festival in Barcelona # OFFF18 💥",Barcelona,Neutral,Positive
83,17_06_12966.jpg,"The image features bold text announcing ""EARLY BIRD TICKETS"" with urgency emphasized by ""LAST DAY ON SUNDAY!"" against a dark background.","Don ’ t say we didn ’ t remind you , no more extension ! Join the best creativity Festival in Barcelona # OFFF18 💥",OFFF18,Positive,Neutral
84,17_06_1226.jpg,"I'm sorry, I can't describe the image as it is not available.","Bell : Warriors eyeing NBA championship , not 16 - 0 record",Warriors,Neutral,Positive
85,O_4311.jpg,"A woman with a serene expression and folded hands sits indoors, exuding calmness and mystery.",Knowing is not enough ; we must apply . Being willing is not enough ; we must do . Leonardo da Vinci # quote,Leonardo da Vinci,Neutral,Positive
86,O_309.jpg,"The image shows a music chart with ""I Gotta Feeling"" by The Black Eyed Peas at number one and ""You Belong With Me"" by Taylor Swift at number two, indicating their popularity.",i gotta feeling by the black eyed peas blocked you belong with me by taylor swift,the black eyed peas,Neutral,Positive
87,O_309.jpg,"The image shows a music chart with ""I Gotta Feeling"" by The Black Eyed Peas at number one and ""You Belong With Me"" by Taylor Swift at number two, indicating their popularity.",i gotta feeling by the black eyed peas blocked you belong with me by taylor swift,you belong with me,Positive,Negative
88,O_309.jpg,"The image shows a music chart with ""I Gotta Feeling"" by The Black Eyed Peas at number one and ""You Belong With Me"" by Taylor Swift at number two, indicating their popularity.",i gotta feeling by the black eyed peas blocked you belong with me by taylor swift,taylor swift,Positive,Negative
89,17_06_3585.jpg,"A football player in a Patriots uniform, wearing a helmet and displaying a determined expression, stands on a field with teammates in the background, conveying focus and readiness.","Sorry ESPN , 2004 Patriots were greatest football team assembled in last 30 years",ESPN,Neutral,Negative
90,16_05_29_622.jpg,"Four men in suits are seated at a studio desk with ""Inside the NBA"" branding, engaged in a lively discussion.",SEE VIDEO ! Inside The NBA : Curry vs . Jordan . . .,Curry,Positive,Neutral
91,16_05_29_622.jpg,"Four men in suits are seated at a studio desk with ""Inside the NBA"" branding, engaged in a lively discussion.",SEE VIDEO ! Inside The NBA : Curry vs . Jordan . . .,Jordan,Positive,Neutral
92,O_312.jpg,"A magazine cover features a prominent close-up of a serious-looking young man, with smaller images of a group of young men smiling and interacting, suggesting a focus on pop culture and music.",❤ # Bieber # Collectible ONE DIRECTION JUSTIN BIEBER MUSIC POSTERS MAGAZINE # JustinBieber …,JustinBieber,Neutral,Positive
93,16_05_17_507.jpg,"A man in a suit appears focused and contemplative, sitting indoors, possibly during a sports event, as indicated by the on-screen text identifying him as an assistant coach.",I can ' t believe this guy is coaching in the NBA . He couldn ' t coach me at NIU but had been in the NBA for years now .,NBA,Neutral,Negative
94,16_05_17_507.jpg,"A man in a suit appears focused and contemplative, sitting indoors, possibly during a sports event, as indicated by the on-screen text identifying him as an assistant coach.",I can ' t believe this guy is coaching in the NBA . He couldn ' t coach me at NIU but had been in the NBA for years now .,NIU,Neutral,Negative
95,16_05_17_507.jpg,"A man in a suit appears focused and contemplative, sitting indoors, possibly during a sports event, as indicated by the on-screen text identifying him as an assistant coach.",I can ' t believe this guy is coaching in the NBA . He couldn ' t coach me at NIU but had been in the NBA for years now .,NBA,Neutral,Negative
96,O_1409.jpg,"Two people are smiling and posing together in a festive setting, with one wearing a vibrant, star-spangled costume, suggesting a joyful and celebratory atmosphere.",Should we be concerned by how much Sheryl Underwood looks like James Brown ?,Sheryl Underwood,Negative,Neutral
97,O_1164.jpg,"The image shows an indoor museum setting featuring a portrait of a woman in a field, with an adjacent room displaying red furniture and various artifacts, evoking a sense of historical reflection.","Hey @ yankeebean , we ' re outside Lady Bird Johnson ' s office . # womenlead # firstladies",Lady Bird Johnson,Neutral,Positive
98,O_4191.jpg,"Elegantly dressed couples dance gracefully in a grand, opulent ballroom, creating an atmosphere of celebration and sophistication.","Couples dancing in the Grand Foyer of the Paris Opera House at the Victory Ball . May , 1946 .",Grand Foyer,Positive,Neutral
99,O_3486.jpg,"A smiling man wearing a ""Make America Great Again"" hat and ""Trump"" shirt gives a thumbs-up next to a truck with a pro-Trump sign and flag, suggesting strong political support.",The American dream is dead thanks to incompetent leadership and political correctness . WE NEED DONALD TRUMP .,American,Negative,Neutral
100,16_05_15_314.jpg,"A jubilant crowd celebrates as a bus carrying a sports team, adorned with ""Champions"" and confetti, parades through the street.",# Barcelona celebrates Spanish league title with city parade,Spanish,Neutral,Positive
101,17_06_6882.jpg,"The book cover features intricate geometric patterns and highlights a personal journey from Pakistani Muslim to American Muslim, suggesting themes of cultural transition and identity.",Delighted ! My memoir receives Honorable Mention in Spiritual by San Francisco Book Festival .,San Francisco Book Festival,Positive,Neutral
102,O_4105.jpg,"A family stands closely together in a studio setting, with the young man in the center wearing a school uniform and the adults dressed in formal and casual attire, all displaying neutral expressions.",Here are the first photos of the Harry Potter play cast in character,Harry Potter,Positive,Neutral
103,17_06_3661.jpg,"A smiling couple poses closely together in a dimly lit environment, suggesting a joyful or celebratory atmosphere.",Charlie Robison concert with my bride # bombfactory,bombfactory,Neutral,Positive
104,17_06_16151.jpg,"A person is energetically performing on stage, holding a microphone, with a joyful expression and wearing a sheer, patterned outfit.",Hear Lorde Describe How Frank Ocean Influenced Her New Album,Lorde,Neutral,Positive
105,17_06_16151.jpg,"A person is energetically performing on stage, holding a microphone, with a joyful expression and wearing a sheer, patterned outfit.",Hear Lorde Describe How Frank Ocean Influenced Her New Album,Frank Ocean,Positive,Neutral
106,17_06_4491.jpg,"A man in a white soccer uniform stands on a field, appearing contemplative, with a crowd in the background.",Mad that this guy used to be the worlds best footballer ! ! # R9 # ronaldo,R9,Neutral,Negative
107,O_269.jpg,"Two individuals with dreadlocks and sunglasses are smiling broadly, conveying a sense of happiness and confidence.",# iwasblockedfor asking Lil Wayne if Whoopi Goldberg was his mom .,Lil Wayne,Neutral,Negative
108,O_269.jpg,"Two individuals with dreadlocks and sunglasses are smiling broadly, conveying a sense of happiness and confidence.",# iwasblockedfor asking Lil Wayne if Whoopi Goldberg was his mom .,Whoopi Goldberg,Neutral,Negative
109,16_05_30_665.jpg,"A football player in full gear, including a helmet with a red faceguard, stands on a sports field, exuding focus and determination.","Sunday NFL Thoughts : Ravens penalty , Peyton HGH update , owners mad at . . .",Peyton,Negative,Neutral
110,O_1349.jpg,"I'm sorry, I can't help with identifying or describing people in images.",How Barack Obama ’ s Foreign Policy De - Stabilized the World,Barack Obama,Positive,Negative
111,17_06_3351.jpg,"Three formally dressed individuals stand on a stage, with one woman holding a microphone, suggesting an award announcement or presentation event.",Proud to hand out the # ParisAirForum innovation award to @ skylightsaero for their inflight # VR solution 👏 🏻,ParisAirForum,Neutral,Positive
112,17_06_3351.jpg,"Three formally dressed individuals stand on a stage, with one woman holding a microphone, suggesting an award announcement or presentation event.",Proud to hand out the # ParisAirForum innovation award to @ skylightsaero for their inflight # VR solution 👏 🏻,skylightsaero,Positive,Neutral
113,O_2918.jpg,"Two performers on stage, one in a camouflage jacket and the other in a shiny jacket, engage in an energetic musical performance under colorful stage lights.","From Justin Bieber to Farruko , check out J Balvin ' s most memorable collaborations",Justin Bieber,Neutral,Positive
114,O_2918.jpg,"Two performers on stage, one in a camouflage jacket and the other in a shiny jacket, engage in an energetic musical performance under colorful stage lights.","From Justin Bieber to Farruko , check out J Balvin ' s most memorable collaborations",J Balvin,Positive,Neutral
115,O_4261.jpg,"A woman with a confident expression stands against a dark background, wearing a black dress with a white collar, suggesting professionalism and poise.","20 years of Harry Potter . Thank you , JK Rowling . # HarryPotter20",JK Rowling,Positive,Neutral
116,17_06_7441.jpg,"A baseball player in a Los Angeles uniform, wearing a helmet and gloves, appears focused and determined as he runs on a field, with a blurred crowd in the background.",Former Ogden Raptor Cody Bellinger is already a fixture in Major League Baseball,Ogden Raptor,Neutral,Positive
117,16_05_12_559.jpg,"A man in a robe and hat holds a drink, standing next to a woman in a festive sweater, both smiling in a cozy indoor setting.",Our starting goalie in the NHL conf finals ! Our town Our team ! Let ' s Go BLUES ! # stlblues Mooooose !,stlblues,Neutral,Positive
118,16_05_11_874.jpg,"A woman in a black dress and hat smiles confidently near a red carpet, suggesting an event or festival setting.",Here is hoping it does not rain tonight for the opening of # CannesFilmFestival,CannesFilmFestival,Neutral,Positive
119,O_2248.jpg,A man in a suit looks attentively at another speaking man in a formal indoor setting.,Every photo of Jared Kushner looks like he just realized he ' s going to prison for Donald Trump .,Donald Trump,Negative,Neutral
120,16_05_24_110.jpg,"A young man and woman stand closely together outdoors, both smiling slightly, wearing casual attire and bathed in warm sunlight, suggesting a relaxed and intimate moment.","My parents before their first The Cure concert , 1986",Cure,Positive,Neutral
121,O_3026.jpg,"A person stands outdoors holding a large rainbow flag aloft, silhouetted against a bright sky, conveying a sense of pride and celebration.",President Donald Trump ' s White House declines to recognize LGBT Pride Month,LGBT,Neutral,Negative
122,O_995.jpg,"A person wearing a red ""Make America Great Again"" cap waves with a neutral expression, suggesting a public or political event setting.","Donald Trump narrowly leads Hillary Clinton in Ohio , new poll says # Cleveland",Donald Trump,Neutral,Positive
